soc_code,title,aai,aai_manus,rank,frey_probability,label,occupation,claude_usage,employment_2025,median_wage_2025,employment_2010,median_wage_2010,education_level,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,rl_feasibility,cognitive_ability_share
51-7032,"Patternmakers, Wood",0.1152951474656014,0.1192331674534412,559.0,0.91,,"Patternmakers, wood",0.22794491276986614,220.0,49630.0,1240.0,34640.0,High school diploma or equivalent,0.2051282051282051,0.2564102564102564,0.3076923076923077,0.1538461538461538,0.282051282051282,0.4102564102564102,16.735,0.4185980780101753
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",0.110153413136047,0.1145336141649119,493.0,0.86,,"Sawing machine setters, operators, and tenders, wood",0.0048207840940183,40850.0,42770.0,37050.0,26180.0,High school diploma or equivalent,0.0,0.0588235294117647,0.1176470588235294,0.0,0.0147058823529411,0.0294117647058823,12.618181818181819,0.3945521768656154
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.1178908220755974,0.1176544111830641,645.0,0.97,,"Woodworking machine setters, operators, and tenders, except sawing",,61420.0,43380.0,61130.0,26520.0,High school diploma or equivalent,0.0217391304347826,0.0652173913043478,0.108695652173913,0.0,0.0326086956521739,0.0652173913043478,8.0,0.399599542334096
51-8011,Nuclear Power Reactor Operators,0.139147911979965,0.1338246972551506,614.0,0.95,,Nuclear power reactor operators,0.0036481609360138,5150.0,122890.0,5080.0,75650.0,High school diploma or equivalent,0.1818181818181818,0.3181818181818182,0.4545454545454546,0.0,0.1212121212121212,0.2424242424242424,38.43157894736842,0.5210604929051531
51-8012,Power Distributors and Dispatchers,0.1229416467583928,0.1229698763511515,355.0,0.64,,Power distributors and dispatchers,0.005689393840688234,8520.0,106730.0,10100.0,68900.0,High school diploma or equivalent,0.0833333333333333,0.375,0.6666666666666666,0.0833333333333333,0.2499999999999999,0.4166666666666666,48.707142857142856,0.535293154274484
51-8013,Power Plant Operators,0.1097172063481109,0.1068230397203736,486.0,0.85,,Power plant operators,0.0243645033940925,29320.0,102040.0,39930.0,63080.0,High school diploma or equivalent,0.0888888888888888,0.2333333333333333,0.3777777777777777,0.0,0.1111111111111111,0.2222222222222222,36.61363636363637,0.44827090373139694
51-8021,Stationary Engineers and Boiler Operators,0.1227557405453256,0.1218492447440655,529.0,0.89,,Stationary engineers and boiler operators,0.00228010058500865,28250.0,78620.0,35800.0,52140.0,High school diploma or equivalent,0.1395348837209302,0.1627906976744186,0.1860465116279069,0.0,0.1046511627906976,0.2093023255813953,21.384,0.43870548291555295
51-8031,Water and Wastewater Treatment Plant and System Operators,0.132060075307711,0.1308333605832328,339.0,0.61,,Water and wastewater treatment plant and system operators,,128490.0,60020.0,108330.0,40770.0,High school diploma or equivalent,0.125,0.125,0.125,0.0,0.125,0.25,28.8125,0.4441518542901031
51-8091,Chemical Plant and System Operators,0.1200399451183844,0.1163773391432455,487.0,0.85,,Chemical plant and system operators,0.002866412164010833,16610.0,78120.0,43130.0,55490.0,High school diploma or equivalent,0.0303030303030303,0.1515151515151515,0.2727272727272727,0.0909090909090909,0.1515151515151515,0.2121212121212121,37.27368421052632,0.44192967884828344
51-8092,Gas Plant Operators,0.1134835110956099,0.1133414132254464,429.0,0.78,,Gas plant operators,0.0036481609360138,18030.0,87820.0,13480.0,57200.0,High school diploma or equivalent,0.0625,0.09375,0.125,0.0,0.078125,0.15625,34.78947368421053,0.4416796267496112
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.1127059040077777,0.1113299218875913,389.0,0.71,,"Petroleum pump system operators, refinery operators, and gaugers",0.00850151789553225,33160.0,96710.0,42850.0,60040.0,High school diploma or equivalent,0.048780487804878,0.1951219512195122,0.3414634146341463,0.024390243902439,0.1707317073170731,0.3170731707317073,35.42916666666667,0.4392478632478633
51-9011,Chemical Equipment Operators and Tenders,0.1142036186371252,0.1145085285492833,416.0,0.76,,Chemical equipment operators and tenders,0.0057328243280217,139630.0,58040.0,46250.0,45150.0,High school diploma or equivalent,0.0869565217391304,0.1521739130434782,0.217391304347826,0.0434782608695652,0.0652173913043478,0.0869565217391304,34.23478260869565,0.43659656093717875
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",0.1222495144483979,0.1177195755318248,517.0,0.88,,"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",,60100.0,51610.0,38050.0,37840.0,High school diploma or equivalent,0.1142857142857142,0.1428571428571428,0.1714285714285714,0.0,0.0857142857142857,0.1714285714285714,15.764999999999997,0.4131416267277905
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.1225613739165116,0.122785239956224,652.0,0.97,,"Crushing, grinding, and polishing machine setters, operators, and tenders",,26000.0,48540.0,33140.0,32440.0,High school diploma or equivalent,0.1081081081081081,0.1081081081081081,0.1081081081081081,0.0,0.081081081081081,0.1621621621621621,20.761904761904763,0.39605822132460466
